id,video_filename
1,What_goes_up.mov
2,Must_come_down.mov
3,A._Hills_birdie_15th.mp4
4,Adam_Birdie_Attempt.mov
5,Approach_deserved_better.mov
7,Defending_champion_opens_Ock.mov
8,DOD.mp4
9,Dont_hit_the_ball_more_than_300_yards.mov
10,Eagle_has_landed_.mov
11,First_Birdie.mov
12,HomeDepot.mov
13,LONG_GRASS_MAROOCHI.mp4
14,My_toe_keeps_getting_in_the_way.mov
15,Needs_must.mov
16,Prize_Balls.MOV
17,Rules_official_needed.mov
18,Setting_the_stage.mov
39,Adam_Birdie_18th_5th.mp4
41,WhatsApp_Video_2024-03-25_at_17.34.46_p0DtcyP.mp4
47,IMG_9965_BZgCUnd.mov
48,50d0807c-c90f-4277-bf9f-125cc6ff4f7f_V2G21sb.mov
49,64190bb3-8418-4061-bdeb-1fd7742824da_cUmr81T.mov
50,IMG_9971_rL9jADn.mov
51,d367279c-da90-461b-9924-7661e5ad5616_sd3OjU8.mov
52,IMG_0068_oqccQtR.mov
53,IMG_0070_4ZF9YXu.mov
55,IMG_0318_Mi36Tho.mov
56,a005735f-8dd0-4b52-a612-5959d18a2b70_WOWOXEJ.mov
57,IMG_0233_C7XxJQw.mov
58,IMG_0507_17fbtSm.mov
59,IMG_0509_zjayoVC.mov
60,IMG_0508_l9VznMZ.mov
61,IMG_0512_1MdpMPl.mov
62,IMG_0510_pKkOyWI.mov
63,IMG_0519_TcYhZgX.mov
64,IMG_0525.mov
65,IMG_0518_90HN4tA.mov
66,e383b010-0bcb-41e4-b9c4-95bfa685c5e7_QeZCWch.mov
67,b30ff6c3-1db9-48e2-afce-8123a9bade3a_adb93op.mov
68,fc94c44b-7ec1-4381-8c61-99c2b2df53cb_L86kR83.mp4
