id,stableford_score,sandy,golf_round_id,hole_id,player_id,strokes,handicap_index
1,0,0,1,19,1,7,13.9
2,1,0,1,20,1,4,13.9
3,2,0,1,21,1,5,13.9
4,2,0,1,22,1,6,13.9
5,2,0,1,23,1,5,13.9
6,1,0,1,24,1,7,13.9
7,2,0,1,25,1,4,13.9
8,2,0,1,26,1,5,13.9
9,1,0,1,27,1,6,13.9
10,1,0,1,28,1,6,13.9
11,2,0,1,29,1,4,13.9
12,0,0,1,30,1,7,13.9
13,3,0,1,31,1,5,13.9
14,2,0,1,32,1,5,13.9
15,2,0,1,33,1,5,13.9
16,2,0,1,34,1,3,13.9
17,2,0,1,35,1,5,13.9
18,1,0,1,36,1,7,13.9
19,1,0,2,37,1,7,13.9
20,2,0,2,38,1,5,13.9
21,1,0,2,39,1,5,13.9
22,2,0,2,40,1,5,13.9
23,0,0,2,41,1,7,13.9
24,0,0,2,42,1,6,13.9
25,2,0,2,43,1,5,13.9
26,2,0,2,44,1,5,13.9
27,3,0,2,45,1,4,13.9
28,0,0,2,46,1,7,13.9
29,0,0,2,47,1,8,13.9
30,1,0,2,48,1,6,13.9
31,1,0,2,49,1,4,13.9
32,1,0,2,50,1,6,13.9
33,2,0,2,51,1,5,13.9
34,0,0,2,52,1,8,13.9
35,3,0,2,53,1,3,13.9
36,0,0,2,54,1,7,13.9
37,1,0,3,37,1,7,13.9
38,1,0,3,38,1,6,13.9
39,1,0,3,39,1,5,13.9
40,2,0,3,40,1,5,13.9
41,2,0,3,41,1,5,13.9
42,2,0,3,42,1,4,13.9
43,2,0,3,43,1,5,13.9
44,2,0,3,44,1,5,13.9
45,3,0,3,45,1,4,13.9
46,0,0,3,46,1,7,13.9
47,2,0,3,47,1,6,13.9
48,0,0,3,48,1,7,13.9
49,2,0,3,49,1,3,13.9
50,0,0,3,50,1,7,13.9
51,0,0,3,51,1,7,13.9
52,0,0,3,52,1,8,13.9
53,2,0,3,53,1,4,13.9
54,0,0,3,54,1,7,13.9
55,0,0,4,55,1,8,13.9
56,0,0,4,56,1,7,13.9
57,1,0,4,57,1,5,13.9
58,2,0,4,58,1,5,13.9
59,0,0,4,59,1,8,13.9
60,2,0,4,60,1,4,13.9
61,0,0,4,61,1,7,13.9
62,2,0,4,62,1,5,13.9
63,2,0,4,63,1,5,13.9
64,2,0,4,64,1,5,13.9
65,1,0,4,65,1,7,13.9
66,2,0,4,66,1,5,13.9
67,1,0,4,67,1,4,13.9
68,2,0,4,68,1,5,13.9
69,0,0,4,69,1,7,13.9
70,0,0,4,70,1,8,13.9
71,0,0,4,71,1,5,13.9
72,0,0,4,72,1,7,13.9
73,0,0,5,19,1,7,13.9
74,2,0,5,20,1,3,13.9
75,2,0,5,21,1,5,13.9
76,2,0,5,22,1,6,13.9
77,1,0,5,23,1,6,13.9
78,3,0,5,24,1,5,13.9
79,2,0,5,25,1,4,13.9
80,2,0,5,26,1,5,13.9
81,1,0,5,27,1,6,13.9
82,1,0,5,28,1,6,13.9
83,1,0,5,29,1,5,13.9
84,1,0,5,30,1,6,13.9
85,0,0,5,31,1,8,13.9
86,0,0,5,32,1,7,13.9
87,2,0,5,33,1,5,13.9
88,0,0,5,34,1,5,13.9
89,2,0,5,35,1,5,13.9
90,2,0,5,36,1,6,13.9
91,1,0,1,19,2,6,7.4
92,2,0,1,20,2,3,7.4
93,2,0,1,21,2,4,7.4
94,3,0,1,22,2,5,7.4
95,0,0,1,23,2,7,7.4
96,2,0,1,24,2,6,7.4
97,2,0,1,25,2,3,7.4
98,2,0,1,26,2,5,7.4
99,2,0,1,27,2,4,7.4
100,2,0,1,28,2,5,7.4
101,2,0,1,29,2,3,7.4
102,3,0,1,30,2,4,7.4
103,3,0,1,31,2,5,7.4
104,0,0,1,32,2,6,7.4
105,1,0,1,33,2,5,7.4
106,4,0,1,34,2,2,7.4
107,3,0,1,35,2,4,7.4
108,3,0,1,36,2,4,7.4
109,1,0,2,37,2,6,7.4
110,3,0,2,38,2,4,7.4
111,2,0,2,39,2,3,7.4
112,0,0,2,40,2,7,7.4
113,1,0,2,41,2,6,7.4
114,2,0,2,42,2,3,7.4
